"","hmm","V2","V3"
"3%","-96","TL4","Glades"
"10%","-35","TL4","Glades"
"20%","-18","TL4","Glades"
"30%","-7","TL4","Glades"
"3%1","-63","TL2","Glades"
"10%1","-35","TL2","Glades"
"20%1","-22","TL2","Glades"
"30%1","-14","TL2","Glades"
"3%2","-62","SH6","Glades"
"10%2","-36","SH6","Glades"
"20%2","-24","SH6","Glades"
"30%2","-17","SH6","Glades"
"3%3","-37","NB8","Glades"
"10%3","-16","NB8","Glades"
"20%3","-4","NB8","Glades"
"30%3","4","NB8","Glades"
"3%4","-32","NB3","Glades"
"10%4","-18","NB3","Glades"
"20%4","-8","NB3","Glades"
"30%4","-1","NB3","Glades"
"3%5","-135","NB1","Glades"
"10%5","-113","NB1","Glades"
"20%5","-86","NB1","Glades"
"30%5","-64","NB1","Glades"
"3%6","-31","GS3","Glades"
"10%6","-16","GS3","Glades"
"20%6","-6","GS3","Glades"
"30%6","1","GS3","Glades"
"3%7","-43","GR8","Glades"
"10%7","-23","GR8","Glades"
"20%7","-12","GR8","Glades"
"30%7","-5","GR8","Glades"
"3%8","-69","GR3","Glades"
"10%8","-38","GR3","Glades"
"20%8","-21","GR3","Glades"
"30%8","-12","GR3","Glades"
"3%9","-53","GR1","Glades"
"10%9","-27","GR1","Glades"
"20%9","-15","GR1","Glades"
"30%9","-7","GR1","Glades"
"3%10","-82","NB8","CONSERVATION AREA 1"
"10%10","-67","NB8","CONSERVATION AREA 1"
"20%10","-50","NB8","CONSERVATION AREA 1"
"30%10","-25.5","NB8","CONSERVATION AREA 1"
"3%11","-80","NB1","CONSERVATION AREA 1"
"10%11","-61","NB1","CONSERVATION AREA 1"
"20%11","-37","NB1","CONSERVATION AREA 1"
"30%11","15","NB1","CONSERVATION AREA 1"
"3%12","-54","GR8","CONSERVATION AREA 1"
"10%12","-33","GR8","CONSERVATION AREA 1"
"20%12","-24","GR8","CONSERVATION AREA 1"
"30%12","-18","GR8","CONSERVATION AREA 1"
"3%13","-130","TL2","CONSERVATION AREA 3B"
"10%13","-75","TL2","CONSERVATION AREA 3B"
"20%13","-54","TL2","CONSERVATION AREA 3B"
"30%13","-42","TL2","CONSERVATION AREA 3B"
"3%14","-173","NB9","CONSERVATION AREA 3B"
"10%14","-72","NB9","CONSERVATION AREA 3B"
"20%14","-47","NB9","CONSERVATION AREA 3B"
"30%14","-34","NB9","CONSERVATION AREA 3B"
"3%15","-128","NB8","CONSERVATION AREA 3B"
"10%15","-74","NB8","CONSERVATION AREA 3B"
"20%15","-50","NB8","CONSERVATION AREA 3B"
"30%15","-36","NB8","CONSERVATION AREA 3B"
"3%16","-172","NB1","CONSERVATION AREA 3B"
"10%16","-92","NB1","CONSERVATION AREA 3B"
"20%16","-53","NB1","CONSERVATION AREA 3B"
"30%16","-37","NB1","CONSERVATION AREA 3B"
"3%17","-70","GR8","CONSERVATION AREA 3B"
"10%17","-49","GR8","CONSERVATION AREA 3B"
