"","hmm","V2","V3"
"3%","999","TL4","CONSERVATION AREA 1"
"10%","999","TL4","CONSERVATION AREA 1"
"20%","999","TL4","CONSERVATION AREA 1"
"30%","999","TL4","CONSERVATION AREA 1"
"3%1","999","TL2","CONSERVATION AREA 1"
"10%1","999","TL2","CONSERVATION AREA 1"
"20%1","999","TL2","CONSERVATION AREA 1"
"30%1","999","TL2","CONSERVATION AREA 1"
"3%2","999","SH6","CONSERVATION AREA 1"
"10%2","999","SH6","CONSERVATION AREA 1"
"20%2","999","SH6","CONSERVATION AREA 1"
"30%2","999","SH6","CONSERVATION AREA 1"
"3%3","-73.56","NB8","CONSERVATION AREA 1"
"10%3","-52","NB8","CONSERVATION AREA 1"
"20%3","-26","NB8","CONSERVATION AREA 1"
"30%3","-8","NB8","CONSERVATION AREA 1"
"3%4","999","NB1","CONSERVATION AREA 1"
"10%4","999","NB1","CONSERVATION AREA 1"
"20%4","999","NB1","CONSERVATION AREA 1"
"30%4","999","NB1","CONSERVATION AREA 1"
"3%5","-23","GR8","CONSERVATION AREA 1"
"10%5","6","GR8","CONSERVATION AREA 1"
"20%5","999","GR8","CONSERVATION AREA 1"
"30%5","999","GR8","CONSERVATION AREA 1"
"3%6","999","GR1","CONSERVATION AREA 1"
"10%6","999","GR1","CONSERVATION AREA 1"
"20%6","999","GR1","CONSERVATION AREA 1"
"30%6","999","GR1","CONSERVATION AREA 1"
"3%7","-56.74","TL2","CONSERVATION AREA 2A"
"10%7","-43","TL2","CONSERVATION AREA 2A"
"20%7","-33.6","TL2","CONSERVATION AREA 2A"
"30%7","-26","TL2","CONSERVATION AREA 2A"
"3%8","-107.03","NB9","CONSERVATION AREA 2A"
"10%8","-82","NB9","CONSERVATION AREA 2A"
"20%8","-64","NB9","CONSERVATION AREA 2A"
"30%8","-43","NB9","CONSERVATION AREA 2A"
"3%9","-87","NB8","CONSERVATION AREA 2A"
"10%9","-67","NB8","CONSERVATION AREA 2A"
"20%9","-56","NB8","CONSERVATION AREA 2A"
"30%9","-46.5","NB8","CONSERVATION AREA 2A"
"3%10","-90","NB1","CONSERVATION AREA 2A"
"10%10","-56","NB1","CONSERVATION AREA 2A"
"20%10","-36","NB1","CONSERVATION AREA 2A"
"30%10","-26","NB1","CONSERVATION AREA 2A"
"3%11","-64","GR8","CONSERVATION AREA 2A"
"10%11","-43","GR8","CONSERVATION AREA 2A"
"20%11","-32","GR8","CONSERVATION AREA 2A"
"30%11","-24","GR8","CONSERVATION AREA 2A"
"3%12","-59","TL2","CONSERVATION AREA 2B"
"10%12","-47","TL2","CONSERVATION AREA 2B"
"20%12","-39","TL2","CONSERVATION AREA 2B"
"30%12","-34","TL2","CONSERVATION AREA 2B"
"3%13","-95.92","NB9","CONSERVATION AREA 2B"
"10%13","-70.1","NB9","CONSERVATION AREA 2B"
"20%13","-60","NB9","CONSERVATION AREA 2B"
"30%13","-52","NB9","CONSERVATION AREA 2B"
"3%14","-133.46","NB8","CONSERVATION AREA 2B"
"10%14","-107","NB8","CONSERVATION AREA 2B"
"20%14","-92","NB8","CONSERVATION AREA 2B"
"30%14","-78","NB8","CONSERVATION AREA 2B"
"3%15","-89","NB1","CONSERVATION AREA 2B"
"10%15","-56","NB1","CONSERVATION AREA 2B"
"20%15","-29","NB1","CONSERVATION AREA 2B"
"30%15","-12","NB1","CONSERVATION AREA 2B"
"3%16","-70","GR8","CONSERVATION AREA 2B"
"10%16","-51","GR8","CONSERVATION AREA 2B"
"20%16","-40","GR8","CONSERVATION AREA 2B"
"30%16","-33","GR8","CONSERVATION AREA 2B"
"3%17","-64","TL4","CONSERVATION AREA 3A"
"10%17","-32","TL4","CONSERVATION AREA 3A"
"20%17","-15","TL4","CONSERVATION AREA 3A"
"30%17","-6","TL4","CONSERVATION AREA 3A"
"3%18","-67","TL2","CONSERVATION AREA 3A"
"10%18","-46","TL2","CONSERVATION AREA 3A"
"20%18","-33","TL2","CONSERVATION AREA 3A"
"30%18","-24","TL2","CONSERVATION AREA 3A"
"3%19","-27","SH6","CONSERVATION AREA 3A"
"10%19","-7.09999999999999","SH6","CONSERVATION AREA 3A"
"20%19","4.80000000000001","SH6","CONSERVATION AREA 3A"
"30%19","10","SH6","CONSERVATION AREA 3A"
"3%20","-131","NB9","CONSERVATION AREA 3A"
"10%20","-92","NB9","CONSERVATION AREA 3A"
"20%20","-63","NB9","CONSERVATION AREA 3A"
"30%20","-41","NB9","CONSERVATION AREA 3A"
"3%21","-208","NB8","CONSERVATION AREA 3A"
"10%21","-67","NB8","CONSERVATION AREA 3A"
"20%21","-43","NB8","CONSERVATION AREA 3A"
"30%21","-29","NB8","CONSERVATION AREA 3A"
"3%22","-112","NB1","CONSERVATION AREA 3A"
"10%22","-51","NB1","CONSERVATION AREA 3A"
"20%22","-30","NB1","CONSERVATION AREA 3A"
"30%22","-18","NB1","CONSERVATION AREA 3A"
"3%23","-58","GR8","CONSERVATION AREA 3A"
"10%23","-36","GR8","CONSERVATION AREA 3A"
"20%23","-22","GR8","CONSERVATION AREA 3A"
"30%23","-13","GR8","CONSERVATION AREA 3A"
"3%24","-88","GR1","CONSERVATION AREA 3A"
"10%24","-56","GR1","CONSERVATION AREA 3A"
"20%24","-42","GR1","CONSERVATION AREA 3A"
"30%24","-33","GR1","CONSERVATION AREA 3A"
