"","hmm","V2","V3"
"3%","999","TL4","1"
"10%","999","TL4","1"
"20%","999","TL4","1"
"30%","999","TL4","1"
"3%1","999","TL2","1"
"10%1","999","TL2","1"
"20%1","999","TL2","1"
"30%1","999","TL2","1"
"3%2","999","SH6","1"
"10%2","999","SH6","1"
"20%2","999","SH6","1"
"30%2","999","SH6","1"
"3%3","-73.56","NB8","1"
"10%3","-52","NB8","1"
"20%3","-26","NB8","1"
"30%3","-8","NB8","1"
"3%4","999","NB1","1"
"10%4","999","NB1","1"
"20%4","999","NB1","1"
"30%4","999","NB1","1"
"3%5","-23","GR8","1"
"10%5","6","GR8","1"
"20%5","999","GR8","1"
"30%5","999","GR8","1"
"3%6","999","GR1","1"
"10%6","999","GR1","1"
"20%6","999","GR1","1"
"30%6","999","GR1","1"
"3%7","-56.74","TL2","2A"
"10%7","-43","TL2","2A"
"20%7","-33.6","TL2","2A"
"30%7","-26","TL2","2A"
"3%8","-107.03","NB9","2A"
"10%8","-82","NB9","2A"
"20%8","-64","NB9","2A"
"30%8","-43","NB9","2A"
"3%9","-87","NB8","2A"
"10%9","-67","NB8","2A"
"20%9","-56","NB8","2A"
"30%9","-46.5","NB8","2A"
"3%10","-90","NB1","2A"
"10%10","-56","NB1","2A"
"20%10","-36","NB1","2A"
"30%10","-26","NB1","2A"
"3%11","-64","GR8","2A"
"10%11","-43","GR8","2A"
"20%11","-32","GR8","2A"
"30%11","-24","GR8","2A"
"3%12","-59","TL2","2B"
"10%12","-47","TL2","2B"
"20%12","-39","TL2","2B"
"30%12","-34","TL2","2B"
"3%13","-95.92","NB9","2B"
"10%13","-70.1","NB9","2B"
"20%13","-60","NB9","2B"
"30%13","-52","NB9","2B"
"3%14","-133.46","NB8","2B"
"10%14","-107","NB8","2B"
"20%14","-92","NB8","2B"
"30%14","-78","NB8","2B"
"3%15","-89","NB1","2B"
"10%15","-56","NB1","2B"
"20%15","-29","NB1","2B"
"30%15","-12","NB1","2B"
"3%16","-70","GR8","2B"
"10%16","-51","GR8","2B"
"20%16","-40","GR8","2B"
"30%16","-33","GR8","2B"
"3%17","-64","TL4","3A"
"10%17","-31","TL4","3A"
"20%17","-14","TL4","3A"
"30%17","-5","TL4","3A"
"3%18","-67","TL2","3A"
"10%18","-46","TL2","3A"
"20%18","-33","TL2","3A"
"30%18","-24","TL2","3A"
"3%19","-27","SH6","3A"
"10%19","-7.09999999999999","SH6","3A"
"20%19","4.80000000000001","SH6","3A"
"30%19","10","SH6","3A"
"3%20","-131","NB9","3A"
"10%20","-92","NB9","3A"
"20%20","-63","NB9","3A"
"30%20","-41","NB9","3A"
"3%21","-208","NB8","3A"
"10%21","-72","NB8","3A"
"20%21","-48","NB8","3A"
"30%21","-33","NB8","3A"
"3%22","-113","NB1","3A"
"10%22","-51","NB1","3A"
"20%22","-30","NB1","3A"
"30%22","-18","NB1","3A"
"3%23","-58","GR8","3A"
"10%23","-36","GR8","3A"
"20%23","-22","GR8","3A"
"30%23","-13","GR8","3A"
"3%24","-88","GR1","3A"
"10%24","-56","GR1","3A"
"20%24","-42","GR1","3A"
"30%24","-33","GR1","3A"
"3%25","-77","TL2","3B"
"10%25","-56","TL2","3B"
"20%25","-40","TL2","3B"
"30%25","-30","TL2","3B"
"3%26","-62","NB9","3B"
"10%26","-52","NB9","3B"
"20%26","-45","NB9","3B"
"30%26","-40","NB9","3B"
"3%27","-83","NB8","3B"
"10%27","-64","NB8","3B"
"20%27","-49.4","NB8","3B"
"30%27","-37","NB8","3B"
"3%28","-62","NB1","3B"
"10%28","-44","NB1","3B"
"20%28","-32","NB1","3B"
"30%28","-23","NB1","3B"
"3%29","-62","GR8","3B"
"10%29","-41","GR8","3B"
"20%29","-29","GR8","3B"
"30%29","-20","GR8","3B"
"3%30","-130","TL4","Deep Lake"
"10%30","-89","TL4","Deep Lake"
"20%30","-50","TL4","Deep Lake"
"30%30","-31","TL4","Deep Lake"
"3%31","-118","TL2","Deep Lake"
"10%31","-71","TL2","Deep Lake"
"20%31","-40","TL2","Deep Lake"
"30%31","-23","TL2","Deep Lake"
"3%32","-137","SH6","Deep Lake"
"10%32","-94","SH6","Deep Lake"
"20%32","-58","SH6","Deep Lake"
"30%32","-41","SH6","Deep Lake"
"3%33","-141","NB9","Deep Lake"
"10%33","-93.1","NB9","Deep Lake"
"20%33","-58","NB9","Deep Lake"
"30%33","-43","NB9","Deep Lake"
"3%34","-146.15","NB8","Deep Lake"
"10%34","-93.3","NB8","Deep Lake"
"20%34","-58.4","NB8","Deep Lake"
"30%34","-38","NB8","Deep Lake"
"3%35","-143","NB3","Deep Lake"
"10%35","-100","NB3","Deep Lake"
"20%35","-77","NB3","Deep Lake"
"30%35","-58","NB3","Deep Lake"
"3%36","-143","NB1","Deep Lake"
"10%36","-111","NB1","Deep Lake"
"20%36","-69.2","NB1","Deep Lake"
"30%36","-44.3","NB1","Deep Lake"
"3%37","-129","GR8","Deep Lake"
"10%37","-83","GR8","Deep Lake"
"20%37","-49","GR8","Deep Lake"
"30%37","-33","GR8","Deep Lake"
"3%38","-130","GR3","Deep Lake"
"10%38","-86","GR3","Deep Lake"
"20%38","-49","GR3","Deep Lake"
"30%38","-31","GR3","Deep Lake"
"3%39","-122","GR1","Deep Lake"
"10%39","-81","GR1","Deep Lake"
"20%39","-43","GR1","Deep Lake"
"30%39","-23","GR1","Deep Lake"
"3%40","-105.23","TL4","East"
"10%40","-71","TL4","East"
"20%40","-57","TL4","East"
"30%40","-47","TL4","East"
"3%41","-60","TL2","East"
"10%41","-23","TL2","East"
"20%41","-7","TL2","East"
"30%41","3","TL2","East"
"3%42","-68.83","SH6","East"
"10%42","-29.1","SH6","East"
"20%42","-7","SH6","East"
"30%42","8","SH6","East"
"3%43","-65.23","NB9","East"
"10%43","-35.1","NB9","East"
"20%43","-21","NB9","East"
"30%43","-12","NB9","East"
"3%44","-100.61","NB8","East"
"10%44","-68.2","NB8","East"
"20%44","-43.2","NB8","East"
"30%44","-27","NB8","East"
"3%45","-103.46","NB3","East"
"10%45","-73","NB3","East"
"20%45","-56","NB3","East"
"30%45","-42","NB3","East"
"3%46","-73.86","NB1","East"
"10%46","-39","NB1","East"
"20%46","-17","NB1","East"
"30%46","-1","NB1","East"
"3%47","-51","GR8","East"
"10%47","-17","GR8","East"
"20%47","0","GR8","East"
"30%47","10","GR8","East"
"3%48","-96","GR3","East"
"10%48","-57","GR3","East"
"20%48","-30","GR3","East"
"30%48","-14","GR3","East"
"3%49","-38","TL4","Glades"
"10%49","-23","TL4","Glades"
"20%49","-13","TL4","Glades"
"30%49","-6","TL4","Glades"
"3%50","-49","TL2","Glades"
"10%50","-29","TL2","Glades"
"20%50","-18","TL2","Glades"
"30%50","-10","TL2","Glades"
"3%51","-50","SH6","Glades"
"10%51","-29","SH6","Glades"
"20%51","-20","SH6","Glades"
"30%51","-14","SH6","Glades"
"3%52","-19","NB8","Glades"
"10%52","-7","NB8","Glades"
"20%52","2","NB8","Glades"
"30%52","9","NB8","Glades"
"3%53","-34","NB3","Glades"
"10%53","-18","NB3","Glades"
"20%53","-7","NB3","Glades"
"30%53","2","NB3","Glades"
"3%54","-146.46","NB1","Glades"
"10%54","-127","NB1","Glades"
"20%54","-118","NB1","Glades"
"30%54","-114","NB1","Glades"
"3%55","-27","GS3","Glades"
"10%55","-12","GS3","Glades"
"20%55","-1","GS3","Glades"
"30%55","5","GS3","Glades"
"3%56","-38","GR8","Glades"
"10%56","-18","GR8","Glades"
"20%56","-8","GR8","Glades"
"30%56","-1","GR8","Glades"
